.-.----.... (a's)
.-.---.-.-. (aagten)
.-.---.-.---. (aagtje)
.-.---.-.---.... (aagtjes)
.-.-.. (aai)
.-.-....-.--..-. (aaiingen)
.-.-..-.---. (aaitje)
.-.-..-.---.... (aaitjes)
.-.--.- (aak)
.-.--.-... (aaks)
.-.--.-...-..-. (aakster)
.-.--.-...-..-.... (aaksters)
.-.-.-...................-...--.. (aalbesseblad)
.-.-.-...................-...--....-..-. (aalbessebladeren)
.-.-.-..................-------- (aalbesseboom)
.-.-.-..................--------.-. (aalbesseboomen)
.-.-.-..................--------.--..---. (aalbesseboompje)
.-.-.-..................--------.--..---.... (aalbesseboompjes)
.-.-.-..............-. (aalbessen)
.-.-.-..............-.-....-.---.--- (aalbessen-jam)
.-.-.-..............-.--...-..... (aalbessengelei)
.-.-.-..............-..---.-.....-..-. (aalbessenjenever)
.-.-.-..............-.-..-- (aalbessennat)
.-.-.-..............-..-......- (aalbessenrist)
.-.-.-..............-.....-..-... (aalbessensaus)
.-.-.-..............-.-.-.---... (aalbessentros)
.-.-.-..............-.-.-.---.......-. (aalbessentrossen)
.-.-.-..............-....-.-...-.-... (aalbessenvlaas)
.-.-.-..............-..--...----. (aalbessenwijn)
.-.-.-.................-.-...-..-.- (aalbessestruik)
.-.-.-.......--..... (aalbezie)
.-.-.-.......--.........-------- (aalbezieboom)
.-.-.-.......--....-. (aalbeziãn)
.-.-.-.......--....-..---.-.....-..-. (aalbeziãnjenever)
.-.-.-....-..--...-. (aalelger)
.-.-.-....-..--...-.... (aalelgers)
.-.-.-....-...-..-.-.-. (aalfuiken)
.-.-.-....-...-..-.-.---. (aalfuikje)
.-.-.-....-...-..-.-.---.... (aalfuikjes)
.-.-.-..--....-. (aalgeer)
.-.-.-..--....-..-. (aalgeeren)
.-.-.-..-.-.-.-.-. (aalkaar)
.-.-.-..-.-.-.-.-.-.---. (aalkaartje)
.-.-.-..-.-.-.-.-.-.---.... (aalkaartjes)
.-.-.-..-.-.-.-..-. (aalkaren)
.-.-.-..-.-.-...-.-. (aalkasten)
.-.-.-..-.-.-...-.---. (aalkastje)
.-.-.-..-.-.-...-.---.... (aalkastjes)
.-.-.-..-.----.-...-. (aalkorf)
.-.-.-..-.----.-...-..---. (aalkorfje)
.-.-.-..-.----.-...-..---.... (aalkorfjes)
.-.-.-..-.-..-.... (aalkub)
.-.-.-..-.-..-......... (aalkubbe)
.-.-.-..-.-.--.-.... (aalkwab)
.-.-.-..-.-.--.-......... (aalkwabbe)
.-.-.-..-----.... (aalmoes)
.-.-.-..-----.....---. (aalmoesje)
.-.-.-..-----.....---.... (aalmoesjes)
.-.-.-..-----.--...-. (aalmoezen)
.-.-.-..-----.--...-.....-. (aalmoezenier)
.-.-.-..-----.--...-.....-..-. (aalmoezenieren)
.-.-.-..-----.--...-.....-.... (aalmoezeniers)
.-.-.-..-----.--...-.....-..........-..... (aalmoezeniershuis)
.-.-.-..-----.--...-.....-..........-..--...-. (aalmoezeniershuizen)
.-.-.-..-----.--...-.....-....-.-.---..-. (aalmoezenierskamer)
.-.-.-..-----.--...-.....-....-.-.---..-.... (aalmoezenierskamers)
.-.-.-...-....--. (aalreep)
.-.-.-...-....--..-. (aalreepen)
.-.-.-.....-.-......-.-.-. (aalschaar)
.-.-.-.....-.-......-.-..-. (aalscharen)
.-.-.-.....-.-.....---.-.....-..-. (aalscholver)
.-.-.-.....-.-.....---.-.....-..-.... (aalscholvers)
.-.-.-.....--...--...-. (aalsgeweer)
.-.-.-.....--...--..-..-. (aalsgeweren)
.-.-.-...........-..-...-. (aalshuiden)
.-.-.-.....-.-.-...-..-.-.-. (aalskruiken)
.-.-.-.....- (aalst)
.-.-.-.....-.-.-.. (aalstal)
.-.-.-.....-.-.-...-...-. (aalstallen)
.-.-.-.....-..-.- (aalsteek)
.-.-.-..- (aalt)
.-.-.-..-.---.... (aaltjes)
.-.-.-.....----.-.--..--. (aalvormig)
.-.--- (aam)
.-.---.......-..-.. (aambeeld)
.-.---....... (aambei)
.-.---........-. (aambeien)
.-.---........-.-.-.-...-..-.. (aambeienkruid)
.-.---....---.-....-..--. (aamborstig)
.-.---....---.-....-..--...-. (aamborstiger)
.-.---....---.-....-..--........-.. (aamborstigheid)
.-.---....---.-....-..--....- (aamborstigst)
.-.----..--. (aamtig)
.-.--..-.-.-.-...-. (aanaarden)
.-.--..-.-.-.-....-.--. (aanaarding)
.-.--..-.-.-.-....-.--..-. (aanaardingen)
.-.--..-.-.-.-...--..-..---.--. (aanaardploeg)
.-.--..-.-.-.-...--..-..---.--..-. (aanaardploegen)
.-.--..--...--.-. (aanademen)
.-.--......--.. (aanbad)
.-.--......--...-. (aanbaden)
.-.--......--.--.-.-. (aanbakken)
.-.--......--.--.-..-.--. (aanbakking)
.-.--......--.-.....-.. (aanbaksel)
.-.--......--.-.....-..... (aanbaksels)
.-.--......-.......-. (aanbassen)
.-.--......-.....-..-.. (aanbedeeld)
.-.--......-.....-...-. (aanbedeelen)
.-.--........-..-.. (aanbeeld)
.-.--........-..-...-. (aanbeelden)
.-.--........-..-...---. (aanbeeldje)
.-.--........-..-...---.... (aanbeeldjes)
.-.--........-..-..........-..----.- (aanbeeldsblok)
.-.--........-..-..........-..----.--.-.-. (aanbeeldsblokken)
.-.--.......-..-. (aanbeenen)
.-.--..........------.-.-.. (aanbehoord)
.-.--..........------.-..-. (aanbehooren)
.-.--........ (aanbei)
.-.--.......-...--.-.. (aanbeland)
.-.--.......-...--.-...-. (aanbelanden)
.-.--.......-...--.--. (aanbelang)
.-.--.......-...--.--..-. (aanbelangen)
.-.--.......-...--.--.- (aanbelangt)
.-.--.......-...-...-. (aanbellen)
.-.--.......-.--.-. (aanbermen)
.-.--.......-.--..-.--. (aanberming)
.-.--.......-.--..-.--..-. (aanbermingen)
.-.--.........-.-...-. (aanbesteden)
.-.--.........-.-....-.--. (aanbesteding)
.-.--.........-.-....-.--..-. (aanbestedingen)
